Pregunta,Asignatura,Tema,Tema_nombre,Respuesta_correcta
P1,Ciencias II (Física),1.1,"MRU — gráfica y tabla",C
P2,Ciencias II (Física),1.2,"Inercia",D
P3,Ciencias II (Física),1.3,"Fuerza resultante — fuerzas opuestas",B
P4,Ciencias II (Física),1.4,"Ley de gravitación universal",C
P5,Ciencias II (Física),1.5,"Electrización por frotamiento",A
P6,Ciencias II (Física),1.6,"Caída libre — aceleración y velocidad final",C
P7,Ciencias II (Física),1.7,"Transferencia de calor",B
P8,Ciencias II (Física),1.8,"Estados de la materia",A
P9,Ciencias II (Física),1.9,"Ondas electromagnéticas",D
P10,Ciencias II (Física),1.10,"Prensa hidráulica — Pascal",C
P11,Ciencias II (Física),1.11,"Magnetismo — interacción de polos",B
P12,Ciencias II (Física),1.12,"Descomposición de la luz blanca",A
P13,Historia (Universal),2.1,"Ilustración — derechos humanos",A
P14,Historia (Universal),2.2,"Causas de la Revolución Francesa",D
P15,Historia (Universal),2.3,"Materialismo histórico — socialismo",D
P16,Historia (Universal),2.4,"Cronología Primera Guerra Mundial",C
P17,Historia (Universal),2.5,"Crisis de 1929",B
P18,Historia (Universal),2.6,"Inventos — relación columna",B
P19,Historia (Historia de México),3.1,"Colonización del Nuevo Mundo",A
P20,Historia (Historia de México),3.2,"Reformas Borbónicas",B
P21,Historia (Historia de México),3.3,"Crisis política 1808 — invasión napoleónica",D
P22,Historia (Historia de México),3.4,"Plan de San Luis — Madero",B
P23,Historia (Historia de México),3.5,"Plan de Ayala",B
P24,Historia (Historia de México),3.6,"TLCAN 1994 — EZLN",B
P25,Ciencias II (Química),4.1,"Fenómenos físicos vs. químicos",B
P26,Ciencias II (Química),4.2,"Símbolos químicos — clasificación",A
P27,Ciencias II (Química),4.3,"Propiedades específicas",C
P28,Ciencias II (Química),4.4,"Métodos de separación — centrifugación",B
P29,Ciencias II (Química),4.5,"Partículas subatómicas",C
P30,Ciencias II (Química),4.6,"Notación atómica — Neón",B
P31,Ciencias II (Química),4.7,"Mezclas homogéneas",C
P32,Ciencias II (Química),4.8,"Tabla periódica — bloques",B
P33,Ciencias II (Química),4.9,"pH — sustancia ácida",A
P34,Ciencias II (Química),4.10,"Tipos de enlace químico",C
P35,Ciencias II (Química),4.11,"Reacción de combustión",B
P36,Ciencias II (Química),4.12,"Electrones de valencia — azufre",A
P37,Habilidad verbal,5.1,"Comprensión lectora — palabra clave",C
P38,Habilidad verbal,5.2,"Sinónimos — acorde",C
P39,Habilidad verbal,5.3,"Comprensión lectora — consecuencia",C
P40,Habilidad verbal,5.4,"Tipo de relación — ejemplificativo",B
P41,Habilidad verbal,5.5,"Comprensión lectora — localización",B
P42,Habilidad verbal,5.6,"Título principal",D
P43,Habilidad verbal,5.7,"Antónimos — diseminados",A
P44,Habilidad verbal,5.8,"Sinónimos — fastuosa",D
P45,Habilidad verbal,5.9,"Sinónimos — breve",B
P46,Habilidad verbal,5.10,"Antónimos — tacaño",D
P47,Habilidad verbal,5.11,"Sinónimos — conjetura",D
P48,Habilidad verbal,5.12,"Antónimos — truncado",B
P49,Habilidad verbal,5.13,"Sinónimos — mística",A
P50,Habilidad verbal,5.14,"Antónimos — anteriores",C
P51,Habilidad verbal,5.15,"Analogías — agente y objeto",D
P52,Habilidad verbal,5.16,"Analogías — parte cubierta",C
