Pregunta,Asignatura,Tema,Tema_nombre,Respuesta_correcta
P1,Habilidad verbal,1.1,"Comprensión de lectura — completar oración",C
P2,Habilidad verbal,1.2,"Comprensión de lectura — propósito del estudio",D
P3,Habilidad verbal,1.3,"Comprensión de lectura — conclusión del estudio",D
P4,Habilidad verbal,1.4,"Comprensión de lectura — ejemplo en el texto",A
P5,Habilidad verbal,1.5,"Comprensión de lectura — característica",B
P6,Habilidad verbal,1.6,"Comprensión de lectura — completar oración",A
P7,Habilidad verbal,1.7,"Comprensión de lectura — inferencia",C
P8,Habilidad verbal,1.8,"Comprensión de lectura — problema mencionado",A
P9,Habilidad verbal,1.9,"Comprensión de lectura — beneficio actual",B
P10,Habilidad verbal,1.10,"PENDIENTE — reemplazar duplicado",A
P11,Habilidad verbal,1.11,"PENDIENTE — reemplazar duplicado",A
P12,Habilidad verbal,1.12,"PENDIENTE — reemplazar duplicado",A
P13,Habilidad verbal,1.13,"PENDIENTE — reemplazar duplicado",A
P14,Habilidad verbal,1.14,"PENDIENTE — reemplazar duplicado",A
P15,Habilidad verbal,1.15,"PENDIENTE — reemplazar duplicado",A
P16,Habilidad verbal,1.16,"PENDIENTE — reemplazar duplicado",A
P17,Habilidad matemática,2.1,"Sistema de ecuaciones — habitaciones",C
P18,Habilidad matemática,2.2,"Aritmética — operaciones con tiempo",A
P19,Habilidad matemática,2.3,"Razones y proporciones — fracciones",B
P20,Habilidad matemática,2.4,"Razonamiento — costo, ganancia",D
P21,Habilidad matemática,2.5,"Razonamiento lógico — comparación",C
P22,Habilidad matemática,2.6,"Porcentajes",A
P23,Habilidad matemática,2.7,"Razonamiento — reparto de ganancia",A
P24,Habilidad matemática,2.8,"Sucesiones — fracciones",D
P25,Habilidad matemática,2.9,"Sucesiones — patrón con potencias",B
P26,Habilidad matemática,2.10,"Razonamiento espacial — vistas de un sólido",D
P27,Habilidad matemática,2.11,"Series visuales — figura que continúa",D
P28,Habilidad matemática,2.12,"Patrones numéricos — secuencias",C
P29,Habilidad matemática,2.13,"Patrones numéricos — secuencia con operaciones",D
P30,Habilidad matemática,2.14,"Series visuales — figura que continúa",A
P31,Habilidad matemática,2.15,"Conteo — cuadrados en un arreglo de puntos",B
P32,Habilidad matemática,2.16,"Razonamiento espacial — desdoblar un cubo",C
P33,Ciencias I (Biología),3.1,"Características de los seres vivos — crecimiento",C
P34,Ciencias I (Biología),3.2,"Funciones vitales — respiración",C
P35,Ciencias I (Biología),3.3,"PENDIENTE — reemplazar duplicado",A
P36,Ciencias I (Biología),3.4,"Nutrición — grupos alimenticios",C
P37,Ciencias I (Biología),3.5,"Conservación de ecosistemas — acciones",C
P38,Ciencias I (Biología),3.6,"Reproducción celular — meiosis vs mitosis",C
P39,Ciencias I (Biología),3.7,"Estructura celular — ribosomas",D
P40,Ciencias I (Biología),3.8,"Reproducción humana — métodos anticonceptivos",A
P41,Ciencias I (Biología),3.9,"Impacto humano — biodiversidad",A
P42,Ciencias I (Biología),3.10,"PENDIENTE — reemplazar duplicado",A
P43,Ciencias I (Biología),3.11,"Genética — genotipo",D
P44,Ciencias I (Biología),3.12,"PENDIENTE — reemplazar duplicado",A
P45,Formación cívica y ética,4.1,"PENDIENTE — reemplazar duplicado",A
P46,Formación cívica y ética,4.2,"PENDIENTE — reemplazar duplicado",A
P47,Formación cívica y ética,4.3,"Salud sexual — VIH/SIDA",B
P48,Formación cívica y ética,4.4,"Democracia — gobierno",A
P49,Formación cívica y ética,4.5,"PENDIENTE — reemplazar duplicado",A
P50,Formación cívica y ética,4.6,"Tipos de normas — convencional",D
P51,Formación cívica y ética,4.7,"PENDIENTE — reemplazar duplicado",A
P52,Formación cívica y ética,4.8,"PENDIENTE — reemplazar duplicado",A
P53,Formación cívica y ética,4.9,"PENDIENTE — reemplazar duplicado",A
